lrsn,CadValue_TotalAssessed
494,483790.0000000000
496,359200.0000000000
503,60480.0000000000
505,120960.0000000000
510,60480.0000000000
512,985027.0000000000
519,917245.0000000000
521,679630.0000000000
528,618555.0000000000
535,444994.0000000000
537,1731456.0000000000
544,919266.0000000000
546,1405306.0000000000
555,765310.0000000000
560,846030.0000000000
562,677534.0000000000
564,957840.0000000000
569,742212.0000000000
571,757380.0000000000
578,1304452.0000000000
580,935840.0000000000
585,582785.0000000000
587,554805.0000000000
589,244262.0000000000
594,171000.0000000000
596,181000.0000000000
603,599225.0000000000
605,1665670.0000000000
612,254550.0000000000
614,253440.0000000000
619,595520.0000000000
621,1172590.0000000000
628,372520.0000000000
630,280780.0000000000
637,867530.0000000000
639,610850.0000000000
644,1383184.0000000000
646,777235.0000000000
653,557318.0000000000
655,604512.0000000000
662,786492.0000000000
664,563245.0000000000
669,5483.0000000000
671,421932.0000000000
678,308371.0000000000
680,331512.0000000000
687,214728.0000000000
689,288222.0000000000
694,341818.0000000000
696,439040.0000000000
703,179630.0000000000
705,596901.0000000000
712,389090.0000000000
714,308100.0000000000
719,171764.0000000000
721,142424.0000000000
728,171200.0000000000
730,138370.0000000000
737,246404.0000000000
739,306074.0000000000
744,214658.0000000000
746,210929.0000000000
753,508050.0000000000
755,390213.0000000000
762,488720.0000000000
764,542930.0000000000
769,471947.0000000000
771,240891.0000000000
778,591552.0000000000
780,758064.0000000000
787,648098.0000000000
789,587761.0000000000
794,570837.0000000000
796,643106.0000000000
798,862251.0000000000
803,827503.0000000000
805,369297.0000000000
812,363275.0000000000
814,323757.0000000000
819,284400.0000000000
821,727340.0000000000
823,735260.0000000000
828,1366150.0000000000
830,831170.0000000000
837,175000.0000000000
839,1405370.0000000000
844,489578.0000000000
846,215154.0000000000
848,219672.0000000000
853,815320.0000000000
855,555283.0000000000
13,191520.0000000000
14,181440.0000000000
15,208656.0000000000
16,646646.0000000000
30,334380.0000000000
31,1063178.0000000000
33,282824.0000000000
46,670364.0000000000
47,1125.0000000000
48,108570.0000000000
49,175849.0000000000
50,415876.0000000000
63,419110.0000000000
64,489134.0000000000
66,5633.0000000000
82,3265.0000000000
97,366320.0000000000
98,358038.0000000000
99,412372.0000000000
100,341153.0000000000
130,690606.0000000000
131,768224.0000000000
132,498524.0000000000
133,513673.0000000000
147,981361.0000000000
148,1014324.0000000000
149,1144006.0000000000
150,1240443.0000000000
163,30179.0000000000
164,1010679.0000000000
165,835041.0000000000
166,1014771.0000000000
167,894143.0000000000
180,961602.0000000000
181,988602.0000000000
182,463141.0000000000
183,1089058.0000000000
197,1000.0000000000
198,219093.0000000000
199,1307971.0000000000
200,1231651.0000000000
214,1098077.0000000000
215,849693.0000000000
216,1222615.0000000000
217,1154145.0000000000
230,932759.0000000000
231,1145026.0000000000
232,1098561.0000000000
233,1209904.0000000000
247,1710939.0000000000
248,1172529.0000000000
249,1339409.0000000000
250,1732779.0000000000
264,1043398.0000000000
265,1017410.0000000000
266,1132123.0000000000
267,1161262.0000000000
280,641605.0000000000
281,630613.0000000000
282,955037.0000000000
283,641193.0000000000
284,612201.0000000000
297,5622.0000000000
298,1538739.0000000000
299,1131246.0000000000
300,817651.0000000000
314,576150.0000000000
315,1024738.0000000000
316,43776.0000000000
317,557065.0000000000
331,478622.0000000000
332,480242.0000000000
333,479584.0000000000
334,478008.0000000000
347,476071.0000000000
348,477605.0000000000
349,473863.0000000000
350,472281.0000000000
364,410592.0000000000
365,417924.0000000000
366,425124.0000000000
367,414252.0000000000
397,200000.0000000000
415,743200.0000000000
416,544180.0000000000
417,436010.0000000000
431,170000.0000000000
432,1128950.0000000000
433,665530.0000000000
434,200000.0000000000
448,48300.0000000000
449,560342.0000000000
450,589802.0000000000
451,624672.0000000000
464,589197.0000000000
465,486980.0000000000
466,574960.0000000000
467,769312.0000000000
481,842309.0000000000
482,269403.0000000000
483,889959.0000000000
484,862861.0000000000
498,163350.0000000000
499,75600.0000000000
500,460054.0000000000
501,163024.0000000000
514,927800.0000000000
515,1048905.0000000000
516,980345.0000000000
517,648536.0000000000
518,1027922.0000000000
531,863675.0000000000
533,313770.0000000000
534,893083.0000000000
548,811715.0000000000
549,1146352.0000000000
550,591390.0000000000
565,737480.0000000000
566,580670.0000000000
567,466820.0000000000
568,607620.0000000000
581,1167739.0000000000
582,765760.0000000000
583,1135515.0000000000
584,1022962.0000000000
598,231585.0000000000
599,964410.0000000000
600,1203390.0000000000
601,131175.0000000000
615,275670.0000000000
616,265850.0000000000
617,85500.0000000000
618,343390.0000000000
631,981900.0000000000
633,753420.0000000000
634,755630.0000000000
635,825210.0000000000
648,966221.0000000000
649,760645.0000000000
650,779397.0000000000
651,694450.0000000000
665,888273.0000000000
666,618566.0000000000
667,395141.0000000000
668,1000.0000000000
682,341818.0000000000
683,408353.0000000000
684,243466.0000000000
685,241034.0000000000
698,356570.0000000000
699,209700.0000000000
700,178740.0000000000
701,335030.0000000000
715,441800.0000000000
716,298290.0000000000
717,288630.0000000000
718,459035.0000000000
732,60000.0000000000
733,45000.0000000000
734,132470.0000000000
735,330113.0000000000
748,323280.0000000000
749,459289.0000000000
750,463220.0000000000
751,527650.0000000000
752,763560.0000000000
765,181919.0000000000
766,605350.0000000000
767,530934.0000000000
768,576594.0000000000
782,788008.0000000000
783,588641.0000000000
784,740566.0000000000
785,308626.0000000000
799,439214.0000000000
800,679791.0000000000
801,520476.0000000000
802,408249.0000000000
815,380765.0000000000
816,323757.0000000000
817,598500.0000000000
818,1168233.0000000000
832,840800.0000000000
833,965280.0000000000
834,964735.0000000000
835,628570.0000000000
849,246545.0000000000
850,377578.0000000000
852,1276028.0000000000
865,537185.0000000000
866,912.0000000000
867,683009.0000000000
868,668156.0000000000
869,466438.0000000000
882,340117.0000000000
883,1965.0000000000
884,204692.0000000000
885,289538.0000000000
899,260780.0000000000
900,61750.0000000000
901,451110.0000000000
902,491300.0000000000
916,175750.0000000000
917,702810.0000000000
862,531487.0000000000
864,586264.0000000000
871,220226.0000000000
873,558202.0000000000
878,571346.0000000000
880,616091.0000000000
887,278918.0000000000
889,469969.0000000000
896,744960.0000000000
898,30875.0000000000
903,1074440.0000000000
905,531190.0000000000
912,922280.0000000000
914,154260.0000000000
921,768788.0000000000
923,755362.0000000000
928,778119.0000000000
930,742542.0000000000
937,476990.0000000000
946,775510.0000000000
948,582110.0000000000
953,819950.0000000000
962,297560.0000000000
964,249890.0000000000
971,434480.0000000000
973,165320.0000000000
978,355680.0000000000
987,2760.0000000000
989,353393.0000000000
996,407273.0000000000
998,412180.0000000000
1003,474886.0000000000
1005,694183.0000000000
1012,568810.0000000000
1014,654234.0000000000
1021,608530.0000000000
1023,416925.0000000000
1028,85500.0000000000
1030,619710.0000000000
1037,341190.0000000000
1039,283264.0000000000
1046,618396.0000000000
1048,362196.0000000000
1053,538137.0000000000
1055,549014.0000000000
1057,509488.0000000000
1062,821923.0000000000
1064,561972.0000000000
1071,960718.0000000000
1073,457579.0000000000
1078,681783.0000000000
1080,624207.0000000000
1082,1057012.0000000000
1087,1106776.0000000000
1089,729418.0000000000
1096,1079405.0000000000
1098,593580.0000000000
1105,807859.0000000000
1107,781151.0000000000
1112,766750.0000000000
1114,940700.0000000000
1121,709410.0000000000
1123,690530.0000000000
1130,803730.0000000000
1132,1356930.0000000000
1137,231130.0000000000
1139,704750.0000000000
1146,1099430.0000000000
1148,672620.0000000000
1155,688410.0000000000
1157,618844.0000000000
1162,547380.0000000000
1164,1018700.0000000000
1171,879620.0000000000
1173,715160.0000000000
1180,760120.0000000000
1182,688820.0000000000
1187,1673290.0000000000
1189,661050.0000000000
1196,622220.0000000000
1198,685080.0000000000
1205,763590.0000000000
1207,561630.0000000000
1212,871400.0000000000
1214,844540.0000000000
1221,186400.0000000000
1223,345370.0000000000
1230,33042.0000000000
1232,7492.0000000000
1237,95000.0000000000
1239,469225.0000000000
1246,239390.0000000000
1248,128250.0000000000
1255,290818.0000000000
1257,878010.0000000000
1262,327670.0000000000
1264,320900.0000000000
1271,1000.0000000000
1273,645235.0000000000
1280,579740.0000000000
1282,496070.0000000000
1287,811120.0000000000
1289,217190.0000000000
1291,578420.0000000000
1296,410080.0000000000
1298,411609.0000000000
1305,140410.0000000000
1307,405970.0000000000
1312,390210.0000000000
1314,331610.0000000000
1316,651030.0000000000
1321,489390.0000000000
1323,160000.0000000000
1330,10000.0000000000
1332,257010.0000000000
1337,822460.0000000000
1339,1179660.0000000000
1341,627870.0000000000
1346,121000.0000000000
1348,200650.0000000000
1355,172920.0000000000
1357,120275.0000000000
1364,783545.0000000000
1366,474592.0000000000
1371,625040.0000000000
1373,124425.0000000000
1380,93852.0000000000
1382,69970.0000000000
1389,554630.0000000000
1391,554157.0000000000
1396,542888.0000000000
1398,125000.0000000000
1405,264460.0000000000
1407,297380.0000000000
1414,416055.0000000000
1416,395910.0000000000
1421,88044.0000000000
1423,385734.0000000000
1430,308013.0000000000
1432,257227.0000000000
1439,605187.0000000000
1446,587477.0000000000
1448,934402.0000000000
1455,561098.0000000000
1457,423638.0000000000
1464,357852.0000000000
1466,487536.0000000000
1471,503207.0000000000
1473,427813.0000000000
1480,473219.0000000000
1482,608976.0000000000
1496,856343.0000000000
1498,954516.0000000000
1505,440584.0000000000
1507,465461.0000000000
1514,761012.0000000000
1516,768104.0000000000
1521,762800.0000000000
1523,592196.0000000000
1525,648476.0000000000
1530,610364.0000000000
1532,650192.0000000000
1541,819867.0000000000
1546,1519.0000000000
1548,1615.0000000000
1550,1544.0000000000
1555,773465.0000000000
1557,230390.0000000000
1564,323618.0000000000
1566,711958.0000000000
1571,565492.0000000000
1573,729263.0000000000
1575,469760.0000000000
1580,839220.0000000000
1589,1000.0000000000
1591,520669.0000000000
1598,486227.0000000000
1600,428151.0000000000
1605,528741.0000000000
1607,458849.0000000000
1614,425308.0000000000
1616,633170.0000000000
1623,233030.0000000000
1625,431250.0000000000
1632,472640.0000000000
1639,432130.0000000000
1641,593933.0000000000
1648,602621.0000000000
1650,612389.0000000000
1655,272079.0000000000
1657,615485.0000000000
1664,298304.0000000000
1666,693005.0000000000
1673,477365.0000000000
1675,806685.0000000000
1680,711708.0000000000
1682,670928.0000000000
1691,1184619.0000000000
1698,354076.0000000000
1700,634855.0000000000
1705,889627.0000000000
1707,456110.0000000000
1714,838270.0000000000
1716,920600.0000000000
5,454417.0000000000
6,711394.0000000000
7,1125594.0000000000
8,804550.0000000000
21,538583.0000000000
22,425450.0000000000
23,970949.0000000000
24,758712.0000000000
38,472644.0000000000
39,36416.0000000000
40,6042.0000000000
41,954041.0000000000
55,112709.0000000000
56,531105.0000000000
57,387919.0000000000
58,8746.0000000000
72,644295.0000000000
73,478071.0000000000
88,854251.0000000000
89,984876.0000000000
90,691494.0000000000
91,387763.0000000000
122,780356.0000000000
123,627302.0000000000
124,931080.0000000000
125,185850.0000000000
138,872410.0000000000
139,870838.0000000000
140,1204075.0000000000
141,913963.0000000000
142,1038563.0000000000
155,929525.0000000000
156,1046541.0000000000
157,1038738.0000000000
158,918373.0000000000
172,331092.0000000000
173,804390.0000000000
174,902323.0000000000
175,1308582.0000000000
189,978717.0000000000
190,796049.0000000000
191,1007778.0000000000
192,1178060.0000000000
205,1247810.0000000000
206,1041570.0000000000
207,1235051.0000000000
208,1008026.0000000000
222,1387845.0000000000
223,1199888.0000000000
224,1115890.0000000000
225,1365961.0000000000
240,1021741.0000000000
242,1547128.0000000000
255,1671744.0000000000
256,934542.0000000000
257,1177382.0000000000
258,1009537.0000000000
259,1168967.0000000000
272,614743.0000000000
273,859430.0000000000
274,832980.0000000000
275,640025.0000000000
289,941915.0000000000
290,566677.0000000000
291,748287.0000000000
292,927436.0000000000
306,1133099.0000000000
307,1034493.0000000000
308,2100803.0000000000
309,8126.0000000000
322,490120.0000000000
323,477043.0000000000
324,478266.0000000000
325,480827.0000000000
339,477372.0000000000
340,478925.0000000000
341,478266.0000000000
342,476710.0000000000
356,427596.0000000000
357,435432.0000000000
358,409332.0000000000
359,407856.0000000000
372,688508.0000000000
373,673392.0000000000
375,685464.0000000000
389,544472.0000000000
390,513692.0000000000
391,513692.0000000000
392,501476.0000000000
406,481470.0000000000
408,621070.0000000000
409,140000.0000000000
424,168000.0000000000
425,140000.0000000000
426,314850.0000000000
439,1102512.0000000000
440,638092.0000000000
441,655072.0000000000
442,666412.0000000000
457,669255.0000000000
458,504045.0000000000
459,504005.0000000000
473,287837.0000000000
474,419454.0000000000
475,847838.0000000000
476,837429.0000000000
489,257506.0000000000
490,1146094.0000000000
491,431370.0000000000
492,392470.0000000000
493,430620.0000000000
506,347180.0000000000
507,422160.0000000000
508,120960.0000000000
509,121204.0000000000
523,1038482.0000000000
524,762992.0000000000
525,695572.0000000000
526,713725.0000000000
539,822859.0000000000
540,855615.0000000000
541,547079.0000000000
542,631949.0000000000
543,781177.0000000000
556,590930.0000000000
557,664800.0000000000
558,902710.0000000000
559,788170.0000000000
573,822480.0000000000
574,1245250.0000000000
575,748453.0000000000
576,1226100.0000000000
590,659898.0000000000
591,618678.0000000000
592,584628.0000000000
593,477195.0000000000
606,820700.0000000000
607,747010.0000000000
608,810110.0000000000
609,469200.0000000000
610,136330.0000000000
623,864260.0000000000
624,1061292.0000000000
625,878268.0000000000
626,476880.0000000000
640,559300.0000000000
641,820882.0000000000
642,1038805.0000000000
643,703799.0000000000
656,596943.0000000000
657,699061.0000000000
658,703088.0000000000
659,622088.0000000000
660,588987.0000000000
673,261202.0000000000
674,339020.0000000000
675,293221.0000000000
676,392944.0000000000
690,297525.0000000000
691,243987.0000000000
692,333095.0000000000
693,237579.0000000000
707,335080.0000000000
708,240080.0000000000
709,266150.0000000000
710,495095.0000000000
723,158494.0000000000
724,51790.0000000000
725,85870.0000000000
726,193190.0000000000
740,347866.0000000000
741,226935.0000000000
742,293313.0000000000
743,298523.0000000000
757,403253.0000000000
758,608360.0000000000
759,547990.0000000000
760,500490.0000000000
773,533741.0000000000
774,628201.0000000000
775,531001.0000000000
776,705681.0000000000
777,599346.0000000000
790,399948.0000000000
791,909767.0000000000
792,462622.0000000000
793,291902.0000000000
807,365485.0000000000
808,369264.0000000000
809,362368.0000000000
810,381540.0000000000
824,1168480.0000000000
825,696050.0000000000
826,851450.0000000000
827,223550.0000000000
840,872120.0000000000
841,1806370.0000000000
842,941578.0000000000
843,386460.0000000000
857,887655.0000000000
858,620928.0000000000
859,353452.0000000000
860,706839.0000000000
874,674092.0000000000
1723,100000.0000000000
1741,254000.0000000000
1750,140000.0000000000
1757,638650.0000000000
1773,110000.0000000000
1780,1006340.0000000000
1782,660740.0000000000
1784,650650.0000000000
1789,677570.0000000000
1791,1433990.0000000000
1798,728140.0000000000
1800,693030.0000000000
1805,595380.0000000000
1807,751447.0000000000
1809,1000.0000000000
1814,165300.0000000000
1816,101575.0000000000
1823,383340.0000000000
1825,96425.0000000000
1832,987591.0000000000
1834,753895.0000000000
1839,423715.0000000000
1841,444536.0000000000
1848,73378.0000000000
1850,73378.0000000000
1857,73378.0000000000
1859,95048.0000000000
1864,95383.0000000000
1866,499469.0000000000
1873,256038.0000000000
1875,252490.0000000000
1882,596721.0000000000
1884,591297.0000000000
1907,859051.0000000000
1909,987584.0000000000
1914,888851.0000000000
1916,820113.0000000000
1923,318407.0000000000
1925,319849.0000000000
1932,310583.0000000000
1934,320562.0000000000
1939,317208.0000000000
1941,278960.0000000000
1948,306095.0000000000
1950,310270.0000000000
1957,663238.0000000000
1959,705316.0000000000
1966,592790.0000000000
1973,38430.0000000000
1975,1055450.0000000000
1984,770330.0000000000
1989,106548.0000000000
1991,510262.0000000000
1998,70000.0000000000
2000,205000.0000000000
2007,780413.0000000000
2016,816926.0000000000
2018,495249.0000000000
2023,760861.0000000000
2032,782839.0000000000
2034,507812.0000000000
2039,889679.0000000000
2041,744149.0000000000
2043,1000.0000000000
2048,780471.0000000000
2050,537037.0000000000
2057,4821.0000000000
2064,815885.0000000000
2066,503812.0000000000
2068,706381.0000000000
2073,763255.0000000000
2075,766513.0000000000
2082,606224.0000000000
2084,769608.0000000000
2091,674062.0000000000
2093,555571.0000000000
2098,464716.0000000000
2100,540731.0000000000
2107,485182.0000000000
2109,776705.0000000000
2116,385163.0000000000
2118,801974.0000000000
2125,802613.0000000000
2132,741245.0000000000
2134,598254.0000000000
2141,905258.0000000000
2143,626500.0000000000
2148,601329.0000000000
2150,482362.0000000000
2157,591632.0000000000
2159,1063524.0000000000
2193,587382.0000000000
2198,511001.0000000000
2200,727535.0000000000
2207,584723.0000000000
2209,679839.0000000000
2216,620580.0000000000
2218,731736.0000000000
2223,679602.0000000000
2225,629432.0000000000
2234,345206.0000000000
2241,687032.0000000000
2243,481133.0000000000
2248,551249.0000000000
2250,949053.0000000000
2252,334981.0000000000
2266,837425.0000000000
2268,1638.0000000000
2273,691074.0000000000
2275,801475.0000000000
2277,684875.0000000000
2282,726786.0000000000
2291,684743.0000000000
2293,1002525.0000000000
2298,649303.0000000000
2300,1043273.0000000000
2302,1053862.0000000000
2307,110048.0000000000
2316,685076.0000000000
2318,844468.0000000000
2325,736197.0000000000
2327,703047.0000000000
2332,712155.0000000000
2334,904337.0000000000
2341,662692.0000000000
2343,733807.0000000000
2350,638945.0000000000
2352,759625.0000000000
2357,773797.0000000000
2359,947715.0000000000
2366,843230.0000000000
2368,819520.0000000000
2375,487065.0000000000
2377,425629.0000000000
2382,785395.0000000000
2384,499486.0000000000
2391,880755.0000000000
2400,639139.0000000000
2402,897422.0000000000
2407,583984.0000000000
2409,643094.0000000000
2416,887648.0000000000
2418,638255.0000000000
2425,480906.0000000000
2427,795886.0000000000
2432,673155.0000000000
2434,660004.0000000000
2441,720353.0000000000
2443,652854.0000000000
2450,520298.0000000000
2452,718092.0000000000
2457,859012.0000000000
2459,816979.0000000000
2466,472267.0000000000
2468,1087113.0000000000
2475,698415.0000000000
2477,554415.0000000000
2482,406308.0000000000
2484,649181.0000000000
2491,911687.0000000000
2493,443736.0000000000
2500,5728.0000000000
2502,604340.0000000000
2507,980480.0000000000
2509,593891.0000000000
2511,545719.0000000000
2516,427297.0000000000
2518,789023.0000000000
2525,470406.0000000000
2527,650340.0000000000
2532,402075.0000000000
2534,668056.0000000000
2536,556196.0000000000
2541,604560.0000000000
2543,481944.0000000000
2550,5705.0000000000
2552,329194.0000000000
2559,476026.0000000000
2561,803191.0000000000
2566,663635.0000000000
2568,589022.0000000000
2575,669165.0000000000
2577,464263.0000000000
2584,5935.0000000000
2586,634761.0000000000
2591,450932.0000000000
2593,705502.0000000000
2600,437186.0000000000
2602,608212.0000000000
2609,610281.0000000000
2611,775064.0000000000
2616,634989.0000000000
2618,850854.0000000000
2625,802315.0000000000
2627,533134.0000000000
2634,628080.0000000000
2636,608819.0000000000
2641,520166.0000000000
2643,841301.0000000000
2650,1086099.0000000000
2652,663522.0000000000
2659,590961.0000000000
2661,328133.0000000000
2666,518515.0000000000
2,579093.0000000000
4,449960.0000000000
9,196520.0000000000
11,193877.0000000000
18,571210.0000000000
20,119700.0000000000
27,187673.0000000000
29,176000.0000000000
34,179988.0000000000
36,245162.0000000000
43,871681.0000000000
52,497920.0000000000
54,689890.0000000000
59,1303349.0000000000
61,308674.0000000000
68,460592.0000000000
70,427467.0000000000
93,362895.0000000000
95,359728.0000000000
102,398847.0000000000
104,854653.0000000000
118,824361.0000000000
120,781684.0000000000
127,584599.0000000000
129,1001419.0000000000
134,1231448.0000000000
143,1022733.0000000000
145,941092.0000000000
152,955625.0000000000
154,1083608.0000000000
159,1022270.0000000000
161,1012408.0000000000
168,909116.0000000000
170,973191.0000000000
177,1115309.0000000000
179,1155695.0000000000
184,1357958.0000000000
186,887404.0000000000
188,1394371.0000000000
193,700897.0000000000
195,1010099.0000000000
202,1540555.0000000000
204,1023560.0000000000
209,925677.0000000000
211,1044383.0000000000
213,1105115.0000000000
218,1208371.0000000000
220,1606045.0000000000
227,1130847.0000000000
229,1149134.0000000000
234,1487794.0000000000
236,986263.0000000000
238,1356973.0000000000
243,1062234.0000000000
245,1143589.0000000000
252,1025189.0000000000
254,1333939.0000000000
261,1105941.0000000000
263,1061675.0000000000
268,1012800.0000000000
270,925748.0000000000
277,835843.0000000000
279,630613.0000000000
286,941503.0000000000
288,675886.0000000000
293,824990.0000000000
295,654916.0000000000
302,797490.0000000000
304,1554079.0000000000
311,99652.0000000000
313,1052386.0000000000
318,432756.0000000000
320,228412.0000000000
327,479257.0000000000
329,475302.0000000000
336,475277.0000000000
338,477372.0000000000
343,476710.0000000000
345,475152.0000000000
352,472001.0000000000
354,446952.0000000000
361,424440.0000000000
363,433068.0000000000
368,407724.0000000000
370,544736.0000000000
377,626484.0000000000
379,562980.0000000000
388,539012.0000000000
393,465644.0000000000
395,684212.0000000000
411,100000.0000000000
418,575130.0000000000
420,70000.0000000000
429,100000.0000000000
436,1000.0000000000
438,568027.0000000000
443,596642.0000000000
445,436492.0000000000
447,820202.0000000000
452,583232.0000000000
454,9442.0000000000
461,476614.0000000000
463,118966.0000000000
468,1004801.0000000000
470,204081.0000000000
472,265857.0000000000
477,878923.0000000000
479,913206.0000000000
486,697528.0000000000
488,709413.0000000000
495,153040.0000000000
497,402880.0000000000
502,164144.0000000000
504,180790.0000000000
511,660075.0000000000
513,851417.0000000000
520,981035.0000000000
522,829409.0000000000
527,772492.0000000000
529,725254.0000000000
536,645603.0000000000
538,797632.0000000000
545,847076.0000000000
547,1115965.0000000000
554,970220.0000000000
563,372280.0000000000
570,669080.0000000000
572,689760.0000000000
579,620020.0000000000
586,565865.0000000000
588,387785.0000000000
595,623918.0000000000
597,570075.0000000000
602,106875.0000000000
604,1012520.0000000000
611,409210.0000000000
613,128250.0000000000
620,1115990.0000000000
622,246900.0000000000
627,252040.0000000000
629,42750.0000000000
636,736900.0000000000
638,946760.0000000000
645,1074363.0000000000
647,699695.0000000000
652,548611.0000000000
654,596402.0000000000
661,506073.0000000000
663,548713.0000000000
670,772352.0000000000
672,470972.0000000000
677,326436.0000000000
679,260971.0000000000
681,263750.0000000000
686,238023.0000000000
688,254100.0000000000
695,299822.0000000000
697,319510.0000000000
702,300570.0000000000
704,482721.0000000000
706,416940.0000000000
711,307950.0000000000
713,62640.0000000000
720,45000.0000000000
722,174044.0000000000
727,140220.0000000000
729,126300.0000000000
731,139010.0000000000
736,252675.0000000000
738,294576.0000000000
745,255701.0000000000
747,254531.0000000000
754,433270.0000000000
756,519100.0000000000
761,345738.0000000000
770,464932.0000000000
772,846821.0000000000
779,488634.0000000000
781,510000.0000000000
786,670561.0000000000
788,550758.0000000000
795,636978.0000000000
797,999955.0000000000
804,748254.0000000000
806,402891.0000000000
811,386408.0000000000
813,387695.0000000000
820,842760.0000000000
822,938650.0000000000
829,959200.0000000000
831,890160.0000000000
836,535530.0000000000
838,609370.0000000000
845,461321.0000000000
847,328930.0000000000
854,664863.0000000000
856,1026583.0000000000
861,341871.0000000000
863,709105.0000000000
870,646475.0000000000
872,242723.0000000000
879,528710.0000000000
881,229148.0000000000
886,539894.0000000000
918,538330.0000000000
919,47370.0000000000
932,701010.0000000000
933,730673.0000000000
934,762232.0000000000
935,704912.0000000000
949,707033.0000000000
950,157376.0000000000
951,764880.0000000000
952,806640.0000000000
966,460800.0000000000
967,312200.0000000000
968,172990.0000000000
969,312280.0000000000
982,1000.0000000000
983,598630.0000000000
984,960595.0000000000
985,596927.0000000000
986,372216.0000000000
999,427904.0000000000
1000,384207.0000000000
1002,325517.0000000000
1016,567942.0000000000
1017,519148.0000000000
1018,657385.0000000000
1019,544476.0000000000
1032,85500.0000000000
1033,264120.0000000000
1035,507990.0000000000
1036,335220.0000000000
1049,475752.0000000000
1050,516974.0000000000
1051,568417.0000000000
1052,641952.0000000000
1066,517434.0000000000
1067,738343.0000000000
1068,345296.0000000000
1069,452098.0000000000
1083,859022.0000000000
1084,652581.0000000000
1085,593783.0000000000
1086,729180.0000000000
1099,718978.0000000000
1101,657922.0000000000
1102,1124159.0000000000
1103,1035018.0000000000
1116,782850.0000000000
1117,891800.0000000000
1118,830640.0000000000
1119,737880.0000000000
1133,816030.0000000000
1134,1031670.0000000000
1135,1528650.0000000000
1149,261660.0000000000
1150,91600.0000000000
1151,908940.0000000000
1152,1495960.0000000000
1153,940290.0000000000
1166,750850.0000000000
1167,859980.0000000000
1168,711180.0000000000
1169,1002050.0000000000
1183,909800.0000000000
1184,1200620.0000000000
1185,624060.0000000000
1186,990430.0000000000
1200,920310.0000000000
1201,1078080.0000000000
1202,809350.0000000000
1216,963466.0000000000
1217,2330.0000000000
1218,96250.0000000000
1219,95000.0000000000
1233,4668.0000000000
1234,4489.0000000000
1235,74584.0000000000
1236,479112.0000000000
1250,264540.0000000000
1251,228240.0000000000
1252,16625.0000000000
1253,297460.0000000000
1266,102000.0000000000
1268,469445.0000000000
1269,229500.0000000000
1270,464580.0000000000
1283,231960.0000000000
1284,979690.0000000000
1285,594460.0000000000
1286,210530.0000000000
1300,74220.0000000000
1301,495695.0000000000
1302,627424.0000000000
1303,141460.0000000000
1317,469630.0000000000
1318,371850.0000000000
1319,367150.0000000000
1320,447650.0000000000
1333,323760.0000000000
1334,123990.0000000000
1335,126000.0000000000
1336,876440.0000000000
1350,244630.0000000000
1351,441730.0000000000
1352,269960.0000000000
1353,275320.0000000000
1368,202400.0000000000
1369,215635.0000000000
1370,682785.0000000000
